Nepali Date,English Date,Event
"Mesh Sankranti/Nepali New Year/Biska Jatra

 (Mesh Sankranti/Nepali New Year/Biska Jatra)",1                                    (1 Baishakh 2083                                    ),2026 April 14
"Buddha Jayanti/Ubhauli Parwa/Chandeshwari Jatra/Chandi Poornima/Gorakhnath Jayanti/Kurma Jayanti/Baisakh Snan Samapti/International Labour Day

 (Buddha Jayanti/Ubhauli Parwa/Chandeshwari Jatra/Chandi Poornima/Gorakhnath Jayanti/Kurma Jayanti/Baisakh Snan Samapti/International Labour Day)",18                                    (18 Baishakh 2083                                    ),2026 May 1
"Bakar Eid/Pradosh Vrata

 (Bakar Eid/Pradosh Vrata)",14                                    (14 Jestha 2083                                    ),2026 May 28
"Republic Day/International Everest Day

 (Republic Day/International Everest Day)",15                                    (15 Jestha 2083                                    ),2026 May 29
"Bhoto Jatra/Sithi Nakha/Kumarsasthi/World Refugee Day

 (Bhoto Jatra/Sithi Nakha/Kumarsasthi/World Refugee Day)",6                                    (6 Ashar 2083                                    ),2026 June 20
"Janai Poornima/Rakshya Bandhan/Poornima Vrata/Kwati Khane Din/Rishi Tarpani/Sanskrit Diwas

 (Janai Poornima/Rakshya Bandhan/Poornima Vrata/Kwati Khane Din/Rishi Tarpani/Sanskrit Diwas)",12                                    (12 Bhadra 2083                                    ),2026 August 28
"Gaijatra/International Day Against Nuclear Tests

 (Gaijatra/International Day Against Nuclear Tests)",13                                    (13 Bhadra 2083                                    ),2026 August 29
"Shree Krishna Janmashtami/Gaura Parva/Gorakhkali Puja/Durwashtami

 (Shree Krishna Janmashtami/Gaura Parva/Gorakhkali Puja/Durwashtami)",19                                    (19 Bhadra 2083                                    ),2026 September 4
"Haritalika Teej/Ganesh Chaturthi Varta/Rashtriya Dharmasabha Diwas/Rashtriya Bal Diwas

 (Haritalika Teej/Ganesh Chaturthi Varta/Rashtriya Dharmasabha Diwas/Rashtriya Bal Diwas)",29                                    (29 Bhadra 2083                                    ),2026 September 14
"Sambidhan Diwas/Radha Janmotsav/Gorakhkali Puja

 (Sambidhan Diwas/Radha Janmotsav/Gorakhkali Puja)",3                                    (3 Ashwin 2083                                    ),2026 September 19
"Indra Jaatra/Ananta Chaturdashi Vrata/World Pharmacists Day

 (Indra Jaatra/Ananta Chaturdashi Vrata/World Pharmacists Day)",9                                    (9 Ashwin 2083                                    ),2026 September 25
"Nawami Shraddha/Jitiya Parva/World Animal Day

 (Nawami Shraddha/Jitiya Parva/World Animal Day)",18                                    (18 Ashwin 2083                                    ),2026 October 4
"Ghatasthaapana Vrata/Navaraatra Arambha

 (Ghatasthaapana Vrata/Navaraatra Arambha)",25                                    (25 Ashwin 2083                                    ),2026 October 11
"Fulpati/Dashain Holiday/International Day for the Eradication of Poverty

 (Fulpati/Dashain Holiday/International Day for the Eradication of Poverty)",31                                    (31 Ashwin 2083                                    ),2026 October 17
"Tula SankrantiDhan/Maha Ashtami Vrata/Kalratri/Gorakhkali Puja

 (Tula SankrantiDhan/Maha Ashtami Vrata/Kalratri/Gorakhkali Puja)",1                                    (1 Kartik 2083                                    ),2026 October 18
"Dashain Holiday

 (Dashain Holiday)",2                                    (2 Kartik 2083                                    ),2026 October 19
"Maha Nawami Vrata

 (Maha Nawami Vrata)",3                                    (3 Kartik 2083                                    ),2026 October 20
"Bijaya Dashami/Devi Bisharjan

 (Bijaya Dashami/Devi Bisharjan)",4                                    (4 Kartik 2083                                    ),2026 October 21
"Papakunsa Ekadashi Vrata

 (Papakunsa Ekadashi Vrata)",5                                    (5 Kartik 2083                                    ),2026 October 22
"Dashain Holiday/Pradosh Vrata

 (Dashain Holiday/Pradosh Vrata)",6                                    (6 Kartik 2083                                    ),2026 October 23
"Laxmi Pooja/Laxmi Prasad Devkota Janma Jayanti/Kukur Tihar/Narak Chaturdashi/Sukha Ratri/World Radiography Day

 (Laxmi Pooja/Laxmi Prasad Devkota Janma Jayanti/Kukur Tihar/Narak Chaturdashi/Sukha Ratri/World Radiography Day)",22                                    (22 Kartik 2083                                    ),2026 November 8
"Tihar Holiday/Gai Puja/World Freedom Day

 (Tihar Holiday/Gai Puja/World Freedom Day)",23                                    (23 Kartik 2083                                    ),2026 November 9
"Gobardan Puja/Mha Puja/Hali Tihar/Nepal Sambat 1147 Starts/Goru Puja/World Science Day for Peace and Development

 (Gobardan Puja/Mha Puja/Hali Tihar/Nepal Sambat 1147 Starts/Goru Puja/World Science Day for Peace and Development)",24                                    (24 Kartik 2083                                    ),2026 November 10
"Bhai Tika/Kija Pooja/Falgunanda Jayanti

 (Bhai Tika/Kija Pooja/Falgunanda Jayanti)",25                                    (25 Kartik 2083                                    ),2026 November 11
"Tihar Holiday/World Pneumonia Day

 (Tihar Holiday/World Pneumonia Day)",26                                    (26 Kartik 2083                                    ),2026 November 12
"Chhath Parva

 (Chhath Parva)",29                                    (29 Kartik 2083                                    ),2026 November 15
"Kartik Snan Samapti/Chaturmas Vrata Samapti/Guru Nanak Jayanti/Nimbarkacharya Jayanti/Sakimana Punhi

 (Kartik Snan Samapti/Chaturmas Vrata Samapti/Guru Nanak Jayanti/Nimbarkacharya Jayanti/Sakimana Punhi)",8                                    (8 Mangsir 2083                                    ),2026 November 24
"International Day of Disabled Persons

 (International Day of Disabled Persons)",17                                    (17 Mangsir 2083                                    ),2026 December 3
"Udhauli Parva/Utpatika Ekadashi Vrata

 (Udhauli Parva/Utpatika Ekadashi Vrata)",18                                    (18 Mangsir 2083                                    ),2026 December 4
"Dhanya Poornima/Udhauli Parva/Yomari Punhi/Jyapu Diwas

 (Dhanya Poornima/Udhauli Parva/Yomari Punhi/Jyapu Diwas)",9                                    (9 Paush 2083                                    ),2026 December 24
"Christmas Day

 (Christmas Day)",10                                    (10 Paush 2083                                    ),2026 December 25
"Tamu Lhosar/Kavi Siromani Lekhnath Jayanti

 (Tamu Lhosar/Kavi Siromani Lekhnath Jayanti)",15                                    (15 Paush 2083                                    ),2026 December 30
"Prithivi Jayanti/Rashtriya Ekata Diwas

 (Prithivi Jayanti/Rashtriya Ekata Diwas)",27                                    (27 Paush 2083                                    ),2027 January 11
"Makar Sankranti/Makar Snan Arambha/Ghiu chaku khane Din/Uttarayan Arambha

 (Makar Sankranti/Makar Snan Arambha/Ghiu chaku khane Din/Uttarayan Arambha)",1                                    (1 Magh 2083                                    ),2027 January 15
"Sahid Diwas

 (Sahid Diwas)",16                                    (16 Magh 2083                                    ),2027 January 30
"Sonam Lhochhar

 (Sonam Lhochhar)",24                                    (24 Magh 2083                                    ),2027 February 7
"Basanta Panchami vrata/Saraswati Pooja

 (Basanta Panchami vrata/Saraswati Pooja)",28                                    (28 Magh 2083                                    ),2027 February 11
"Prajatantra Diwas/Election Day

 (Prajatantra Diwas/Election Day)",7                                    (7 Falgun 2083                                    ),2027 February 19
"Maha Shivaratri/Nepali Army Day/Silachahre Puja

 (Maha Shivaratri/Nepali Army Day/Silachahre Puja)",22                                    (22 Falgun 2083                                    ),2027 March 6
"International Women's Day

 (International Women's Day)",24                                    (24 Falgun 2083                                    ),2027 March 8
"Gyalpo Lhosar

 (Gyalpo Lhosar)",25                                    (25 Falgun 2083                                    ),2027 March 9
"Fagu Poornima / Holi/World Poetry Day

 (Fagu Poornima / Holi/World Poetry Day)",7                                    (7 Chaitra 2083                                    ),2027 March 21
"Fagu Poornima (Terai)/World Water Day

 (Fagu Poornima (Terai)/World Water Day)",8                                    (8 Chaitra 2083                                    ),2027 March 22
"Ghode Jaatra

 (Ghode Jaatra)",23                                    (23 Chaitra 2083                                    ),2027 April 6
